COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,lat,lng
Luxembourg,LUX,EURO,REPORTING,2/5/2023,1336688,469234,213.5,74.945,462629,73.89,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",12/30/2020,8,368315,58.826,49.815273,6.129583
Madagascar,MDG,AFRO,REPORTING,3/5/2023,2697574,2352235,9.742,8.495,2275259,8.217,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",5/10/2021,3,130467,0.471,-18.766947,46.869107
Malawi,MWI,AFRO,REPORTING,3/5/2023,7212459,4624515,37.702,24.174,3619337,18.92,"Janssen - Ad26.COV 2-S,SII - Covishield",3/11/2021,2,841715,4.4,-13.254308,34.301525
Malaysia,MYS,WPRO,REPORTING,2/26/2023,72575752,28130201,224.235,86.913,27542001,85.095,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/24/2021,8,16313128,50.402,4.210484,101.975766
Maldives,MDV,SEARO,REPORTING,2/12/2023,951511,399225,176.028,73.856,385099,71.243,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/1/2021,8,167187,30.929,3.202778,73.22068
Mali,MLI,AFRO,REPORTING,2/26/2023,4916568,3613292,24.278,17.843,2954483,14.589,SII - Covishield,3/31/2021,1,,,17.570692,-3.996166
Malta,MLT,EURO,REPORTING,2/5/2023,1279922,450505,248.7,87.551,444882,86.458,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,4,352543,68.513,35.937496,14.375416
Marshall Islands,MHL,WPRO,REPORTING,12/28/2022,85198,45627,143.93,77.08,39571,66.85,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/29/2020,3,18559,31.353,7.131474,171.184478
Martinique,MTQ,AMRO,REPORTING,2/10/2023,400507,150563,106.726,40.122,145300,38.719,Pfizer BioNTech - Comirnaty,,1,92694,24.701,14.641528,-61.024174
Mauritania,MRT,AFRO,REPORTING,2/26/2023,4068530,2100271,87.502,45.17,1537811,33.074,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/26/2021,2,383018,8.238,21.00789,-10.940835
